ticker,date,pattern,status,rs_1m_pct,rs_3m_pct,rs_6m_pct
BANC,2017-01-30,UDS,OK,-15.669515669515665,16.719242902208208,-33.75111906893464
LXRX,2017-03-03,UDS,OK,5.16399162595953,-6.105919003115268,8.183776022972001
UIS,2017-04-25,DT,OK,-22.299651567944245,-14.230769230769225,10.945273631840791
CRC,2017-05-05,DT,OK,-32.75976174718729,-51.82550972024656,-3.3301617507136005
NE,2017-02-10,DT SW,OK,-7.916666666666671,42.88793103448276,-1.9230769230769162
HLX,2017-02-21,UDS,OK,-13.23185011709601,-24.92401215805471,-12.203791469194304
AAOI,2017-05-05,UDS,OK,-8.556358663801511,49.50495049504953,144.43864229765015
ARRY,2017-05-10,DT,OK,-17.798594847775174,-33.333333333333336,19.795221843003397
AMRN,2017-08-02,UTU,OK,-11.414392059553336,12.618296529968465,20.202020202020222
WIX,2017-05-10,UDS,OK,-2.7540983606557323,42.87090558766862,89.88476312419978
TRVG,2017-05-15,UT,insufficient_history,,,
SN,2017-08-09,DT,OK,-30.265210608424344,-40.558510638297875,-64.32561851556264
LITE,2017-08-09,UDS,OK,-3.8149350649350655,15.384615384615374,47.38805970149254
TTD,2017-08-11,UDS,OK,-2.8149873810910386,25.495111556781147,72.38292011019286
EDIT,2017-08-10,DT SW,OK,5.516431924882648,-6.060606060606066,0.6155567991046329
TXMD,2017-08-04,DT SW,OK,-2.0484171322160183,16.629711751662967,-10.54421768707483
NVCR,2017-10-26,UDS,OK,-14.622641509433954,-11.27450980392155,59.471365638766535
TXMD,2017-11-06,SW,OK,-14.173228346456689,-18.656716417910445,4.306220095693769
MBI,2017-11-08,DT U,OK,-9.765625,-32.05882352941176,-13.80597014925372
ROKU,2017-11-09,DT,insufficient_history,,,
CRC,2017-11-07,DT U,OK,37.58519961051607,95.1657458563536,8.027522935779817
EXEL,2017-11-02,UDS,OK,-0.7374027038099085,-5.756514974718008,9.936479128856623
AAOI,2017-11-08,DT,OK,-35.550263650280655,-43.84170742552246,-41.680775742650454
TAL,2018-01-25,UDS,OK,-2.663024923181967,-15.274888558692412,18.39700996677742
OMER,2017-11-10,DT,OK,-32.80877443967572,-39.91471215351812,-5.309139784946238
HTZ,2017-11-10,UTU,OK,-23.742378048780477,7.2922252010724,90.39010466222648
CMCM,2017-11-21,SW,OK,23.79862700228832,4.946653734238615,0.09250693802036469
LITE,2018-02-06,UDS,OK,-15.139442231075694,-27.612574341546303,-27.612574341546303
FOSL,2018-02-14,DT SW,OK,-3.6247334754797578,36.96969696969696,10.109622411693042
CORT,2018-02-23,UTU,OK,-36.753144654088054,-5.851375073142185,10.660247592847316
GPOR,2018-02-22,DT,OK,-33.51778656126482,-36.71933784800602,-29.029535864978897
PRTA,2018-02-15,DT,OK,-22.528160200250326,-45.53932781981348,-46.74810736407433
IMMR,2018-02-23,U,OK,42.005420054200556,75.83892617449666,48.65248226950356
WB,2018-02-13,UT,OK,-1.3507879596431294,8.253271113551097,43.02466150870408
CAR,2018-02-22,UTU,OK,-14.71103327495622,11.282490716938032,20.619195046439632
DQ,2018-02-28,UDS,OK,-5.300051290818953,3.8238050609184615,119.80158730158728
SN,2018-02-26,DT,OK,-33.92539964476021,-24.696356275303643,-19.305856832971802
TROX,2018-03-01,UDS,OK,-7.676767676767671,-33.333333333333336,-9.235352532274078
BKE,2018-03-16,DT SW,OK,-15.313225058004642,-17.420814479638015,22.483221476510074
VYGR,2018-03-14,UTU,OK,33.443344334433455,76.18010167029776,63.367003367003385
CMCM,2018-03-19,UDS,OK,-14.923291492329149,9.123434704830057,26.95109261186266
NOAH,2018-03-07,UDS,OK,-6.465333900467895,8.861386138613847,48.83248730964465
MDB,2018-03-14,UTU,insufficient_history,,,
COLL,2018-03-08,UT,OK,11.288056206088992,40.25974025974026,141.21827411167516
DDD,2018-03-15,DT SW,OK,22.479838709677423,27.760252365930604,-8.64661654135338
GERN,2018-03-19,UT,OK,47.161572052401745,67.66169154228858,56.01851851851851
LITE,2018-05-02,UDS,OK,-14.390243902439027,17.130144605116794,-15.894568690095856
RIGL,2018-05-02,SW,OK,4.815864022662897,-7.268170426065157,-3.141361256544506
MTSI,2018-05-02,DT,OK,7.28720146968771,-44.76670870113493,-56.30922693266833
RGNX,2018-05-09,CPH,OK,26.073131955484886,57.029702970297016,37.67361111111109
ACAD,2018-05-04,DT,OK,-28.200537153088632,-46.99272967614012,-53.94774619580821
BMA,2018-05-16,DT,OK,-29.0566037735849,-22.257831076191458,-35.8252261478068
