ticker,chart_symbol,former_symbols,windows,n_windows,start,end,days,mktcap_bucket,best_rank,num_flagpoles,hh_dates,resistances,latest_resistance,is_valid_flag,notes
MNKD,MNKD,,1M+3M+6M,3,2010-06-28,2010-08-02,35,small,3.0,3.0,2010-06-25; 2010-07-28; 2010-08-02,35.95; 36.45; 36.8,36.8,,
MNKD,MNKD,,1M+3M+6M,3,2010-12-15,2011-01-05,21,small,3.0,2.0,2010-12-15; 2011-01-18,46.15; 50.25,50.25,,
MNKD,MNKD,,1M+3M+6M,3,2013-03-18,2013-06-21,95,small,1.0,4.0,2013-04-03; 2013-04-11; 2013-06-04; 2013-06-11,19.75; 22.5; 39.35; 40.3,40.3,,
MNKD,MNKD,,1M+3M+6M,3,2013-08-06,2013-08-15,9,mid,1.0,4.0,2013-08-02; 2013-08-14; 2013-09-05; 2013-09-25,41.65; 43.5; 31.55; 31.05,31.05,,
MNKD,MNKD,,1M+3M+6M,3,2014-04-15,2014-04-28,13,mid,1.0,2.0,2014-05-22; 2014-06-05,40.4; 55.55,55.55,,
MNKD,MNKD,,1M+3M+6M,3,2014-06-05,2014-07-02,27,mid,1.0,2.0,2014-06-30; 2014-08-11,57.4; 50.4,50.4,,
MNKD,MNKD,,1M+3M+6M,3,2014-11-10,2014-12-03,23,mid,5.0,2.0,2014-11-13; 2015-01-05,31.8; 30.0,30.0,,
MNKD,MNKD,,1M+3M+6M,3,2015-02-10,2015-02-26,16,mid,2.0,1.0,2015-02-10,39.4,39.4,,
MNKD,MNKD,,1M+3M+6M,3,2015-06-08,2015-06-25,17,mid,1.0,1.0,2015-06-09,36.6,36.6,,
MNKD,MNKD,,1M+3M,2,2016-03-23,2016-04-06,14,small,4.0,1.0,2016-03-23,11.2,11.2,,
MNKD,MNKD,,1M+3M+6M,3,2017-10-04,2017-10-25,21,small,1.0,2.0,2017-10-10; 2017-11-10,6.96; 3.6765,3.6765,,
MNKD,MNKD,,6M,1,2018-02-07,2018-03-05,26,small,8.0,1.0,2018-02-14,3.41,3.41,,
MNKD,MNKD,,1M,1,2018-09-13,2018-10-03,20,small,6.0,1.0,2018-10-18,2.19,2.19,,
MNKD,MNKD,,1M,1,2021-04-21,2021-04-26,5,small,12.0,1.0,2021-04-27,4.98,4.98,,
MNKD,MNKD,,1M+3M,2,2022-06-02,2022-06-13,11,small,6.0,1.0,2022-06-08,4.8599,4.8599,,
