IPO Only
2025-07-01

Ticker,Name,Start,End,Pct,Rank,Sector,Industry,MktCap,Price,EPSExclXorGr%PYQ,SalesPSGr%PYQ,EPSExclXorGr%TTM,SalesPSGr%TTM,ROE%TTM,#Institution,Inst%Own,InstNetPurch,
BLCO,Bausch + Lomb Corp.,13.76,16.56,20.35,65.82,Healthcare,N/A,4382.12,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
QBTS,"D-Wave Quantum, Inc.",15.98,23.99,50.13,65.67,Technology,N/A,4349.98,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
GRND,"Grindr, Inc.",22.17,14.37,-35.18,65.64,Technology,N/A,4346.07,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
FG,"F&G Annuities & Life, Inc.",31.16,26.59,-14.66,65.61,Finance,N/A,4331.63,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
FRSH,"Freshworks, Inc.",14.75,10.12,-31.39,65.56,Technology,N/A,4318.58,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
ODD,ODDITY Tech Ltd.,75.11,15.13,-79.86,65.15,Consumer Non-Cyclicals,N/A,4263.29,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
NE,Noble Corp. Plc,26.77,37.30,39.34,65.10,Energy,N/A,4250.35,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
INTA,"Intapp, Inc.",47.84,25.21,-47.30,64.72,Finance,N/A,4138.43,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
BTSG,"BrightSpring Health Services, Inc.",22.00,69.74,217.00,64.51,Healthcare,N/A,4098.94,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
CRC,California Resources Corp.,45.44,52.87,16.36,64.43,Energy,N/A,4073.43,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
